Source,Target,Weight
N1578,N933,1
N1578,N1579,1
N1012,N9,1
N938,N30,1
N938,N74,1
N938,N78,1
N938,N53,1
N1176,N1180,1
N1176,N1179,1
N1176,N1178,1
N1176,N1177,1
N1119,N933,1
N1119,N316,1
N681,N3,5
N619,N113,1
N1538,N1515,2
N1642,N1643,1
N1551,N3,1
N846,N3,1
N1250,N99,1
N1250,N5,1
N967,N379,1
N967,N127,1
N967,N969,1
N967,N113,1
N967,N120,1
N967,N968,1
N1526,N1527,1
N1798,N99,1
N1798,N5,1
N239,N241,1
N239,N240,1
N1197,N1203,1
N1197,N1202,1
N1197,N1201,1
N1197,N1198,1
N1197,N1200,1
N946,N3,1
N1322,N1323,1
N374,N375,1
N374,N92,1
N830,N3,1
N479,N480,1
N24,N1498,1
N24,N1507,1
N24,N1448,1
N24,N1499,1
N24,N25,1
N447,N443,3
N148,N221,1
N1252,N9,1
N1252,N204,1
N1252,N1254,1
N1252,N1253,1
N275,N5,2
N1047,N1048,1
N1845,N172,1
N1231,N145,1
N1231,N1232,1
N725,N3,1
N1630,N1631,1
N1095,N1096,1
N1058,N1057,10
N1058,N375,1
N1058,N1059,10
N1836,N228,1
N1836,N29,1
N1836,N121,1
N1635,N837,1
N159,N172,1
N159,N74,2
N1019,N1020,1
N1222,N670,1
N1222,N671,1
N1222,N1223,1
N1222,N5,1
N788,N789,1
N788,N791,1
N788,N792,1
N788,N790,1
N788,N793,1
N415,N3,1
N1754,N1750,2
N1754,N1752,3
N1754,N1751,3
N1754,N1753,3
N1392,N3,1
N350,N351,1
N519,N30,1
N1359,N99,1
N1359,N5,3
N1692,N1694,3
N1692,N982,2
N1692,N1693,3
N1646,N9,1
N1646,N30,1
N164,N167,2
N164,N166,1
N164,N1286,1
N164,N165,2
N405,N406,1
N405,N380,1
N405,N379,1
N405,N407,1
N405,N9,1
N405,N122,1
N950,N8,1
N971,N972,1
N971,N145,1
N971,N973,1
N971,N144,1
N1137,N29,1
N1137,N1036,1
N1137,N1139,1
N1137,N32,1
N1137,N1138,1
N1137,N121,1
N1854,N1855,1
N1854,N55,1
N1330,N216,1
N1009,N145,1
N1009,N144,1
N1295,N954,1
N1814,N172,1
N99,N5,11
N1851,N172,1
N1445,N1283,1
N947,N126,1
N947,N30,1
N947,N902,1
N947,N113,1
N947,N74,1
N28,N30,1
N28,N29,1
N28,N31,1
N28,N33,1
N28,N32,1
N1057,N1058,1
N1057,N1787,1
N1057,N1059,1
N1057,N1641,1
N1774,N1775,1
N1750,N1753,2
N1442,N1283,1
N531,N5,2
N1496,N1497,1
N980,N981,1
N1192,N1193,1
N276,N188,1
N276,N247,1
N276,N187,1
N276,N248,1
N276,N277,1
N309,N311,1
N309,N310,1
N309,N1414,2
N1463,N389,1
N392,N393,1
N368,N370,1
N368,N369,1
N104,N103,1
N104,N102,1
N873,N874,1
N45,N49,1
N45,N50,1
N45,N51,1
N45,N47,1
N45,N46,1
N45,N48,1
N45,N52,1
N45,N54,1
N45,N56,1
N45,N53,1
N45,N55,1
N1585,N9,1
N1585,N30,1
N1585,N29,1
N1585,N74,1
N394,N395,1
N6,N3,2
N117,N5,2
N1424,N1334,1
N658,N316,1
N1628,N933,1
N1628,N30,1
N1628,N181,1
N1632,N3,1
N849,N850,1
N188,N185,1
N188,N187,7
N188,N186,2
N188,N248,3
N1599,N850,1
N1431,N1432,1
N714,N3,2
N1847,N379,1
N1847,N407,1
N1847,N1719,1
N1847,N1718,1
N376,N3,1
N913,N914,1
N1313,N1058,1
N1313,N1057,1
N1313,N1059,1
N894,N30,1
N894,N896,1
N894,N895,1
N894,N316,1
N894,N74,1
N894,N897,1
N894,N899,1
N894,N900,1
N894,N898,1
N246,N188,1
N246,N247,1
N246,N187,1
N246,N248,1
N1185,N3,1
N27,N3,3
N1768,N1754,1
N1768,N1752,1
N1768,N1751,1
N1768,N1769,1
N1768,N1753,1
N1391,N472,1
N1046,N995,1
N1194,N145,1
N1194,N144,1
N485,N3,1
N578,N579,1
N773,N3,1
N1041,N1042,1
N1041,N145,1
N1041,N144,1
N606,N292,1
N1589,N1590,1
N1248,N1227,1
N413,N414,1
N1352,N5,2
N1180,N1179,1
N1695,N221,1
N1695,N571,1
N1363,N1364,1
N1547,N1548,1
N925,N926,1
N1809,N1810,1
N247,N188,4
N247,N187,4
N247,N248,4
N247,N277,1
N1390,N1391,1
N1390,N472,1
N1390,N84,1
N819,N190,1
N810,N190,1
N162,N71,2
N162,N72,2
N162,N70,2
N184,N188,1
N184,N185,1
N184,N187,1
N184,N186,1
N856,N857,1
N959,N64,2
N959,N908,2
N884,N3,1
N1108,N1009,1
N1108,N145,1
N1108,N144,1
N1108,N1008,1
N129,N127,1
N129,N30,1
N129,N113,1
N129,N29,1
N129,N74,1
N129,N128,1
N129,N130,1
N129,N75,1
N129,N131,1
N1151,N1152,1
N253,N5,2
N1735,N1058,1
N1735,N1057,1
N1735,N1059,1
N1447,N933,1
N1447,N30,1
N1447,N1449,1
N1447,N837,1
N999,N145,1
N999,N144,1
N893,N3,1
N1361,N30,1
N1361,N1601,2
N1361,N75,1
N1381,N5,1
N1710,N1711,1
N911,N3,1
N1420,N933,1
N1420,N1416,1
N1420,N181,1
N1320,N1293,1
N785,N786,2
N785,N939,1
N172,N1209,1
N172,N1207,1
N1848,N1849,1
N1404,N1361,1
N1404,N30,1
N1404,N75,1
N870,N871,1
N206,N127,1
N206,N30,1
N206,N113,1
N206,N29,1
N206,N74,1
N206,N128,1
N206,N130,1
N206,N75,1
N206,N131,1
N1519,N221,1
N803,N802,2
N924,N84,1
N171,N172,1
N171,N9,1
N1618,N1620,2
N1618,N191,1
N1618,N1619,2
N388,N389,1
N1301,N9,1
N1301,N1302,1
N905,N490,1
N905,N228,1
N905,N30,1
N905,N492,1
N905,N689,1
N905,N489,1
N905,N491,1
N251,N3,1
N1354,N1351,1
N504,N436,1
N38,N39,1
N38,N43,1
N38,N41,1
N38,N44,1
N38,N40,1
N38,N42,1
N1300,N181,1
N220,N221,2
N220,N71,2
N220,N72,2
N220,N70,2
N1173,N84,1
N1602,N1058,1
N1602,N1057,1
N1602,N1059,1
N1726,N436,1
N691,N3,3
N430,N3,1
N860,N3,1
N1217,N1219,1
N1217,N145,1
N1217,N1218,1
N1217,N144,1
N1509,N30,1
N1509,N113,1
N1509,N572,1
N1509,N74,1
N1509,N882,1
N1749,N1754,1
N1749,N1750,1
N1749,N1752,1
N1749,N1751,1
N1749,N1753,1
N861,N3,1
N611,N1299,1
N611,N316,1
N834,N835,1
N69,N71,2
N69,N280,1
N69,N72,2
N69,N70,1
N1826,N93,1
N1826,N1827,1
N1024,N64,2
N1024,N908,2
N1203,N1200,1
N1658,N5,1
N1706,N1497,1
N1109,N1110,1
N1292,N1293,1
N34,N3,1
N1032,N29,1
N269,N30,1
N1280,N933,1
N1280,N74,1
N325,N327,1
N325,N328,1
N325,N326,1
N325,N329,1
N1256,N64,2
N1598,N1597,1
N155,N157,1
N155,N154,1
N155,N152,1
N155,N151,1
N155,N153,1
N156,N155,1
N156,N157,1
N156,N154,1
N156,N152,1
N156,N151,1
N156,N153,1
N158,N155,1
N158,N156,1
N158,N157,1
N158,N154,1
N158,N152,1
N158,N151,1
N158,N153,1
N157,N154,1
N157,N151,1
N154,N151,1
N152,N157,1
N152,N154,1
N152,N151,1
N152,N153,1
N153,N157,1
N153,N154,1
N153,N151,1
N150,N155,1
N150,N156,1
N150,N158,1
N150,N157,1
N150,N154,1
N150,N152,1
N150,N151,1
N150,N153,1
N907,N64,2
N907,N908,2
N1043,N3,2
N1348,N3,2
N302,N303,2
N266,N69,2
N266,N221,2
N266,N71,2
N266,N72,2
N266,N70,2
N771,N190,1
N234,N228,1
N234,N237,1
N234,N231,1
N234,N232,1
N234,N229,1
N234,N230,1
N234,N236,1
N234,N238,1
N234,N235,1
N234,N233,1
N682,N292,2
N1002,N1003,1
N1113,N172,1
N1118,N172,1
N1123,N972,1
N1123,N145,1
N1123,N973,1
N1123,N1124,1
N1123,N144,1
N822,N823,1
N418,N3,1
N948,N949,1
N948,N1614,1
N1633,N137,1
N416,N417,1
N847,N3,1
N1135,N621,2
N1142,N8,1
N1367,N75,1
N840,N841,1
N722,N30,2
N490,N492,7
N490,N489,5
N490,N491,7
N1537,N228,1
N1537,N29,1
N1537,N1535,1
N1537,N1536,1
N1537,N486,1
N736,N228,6
N736,N572,6
N736,N738,6
N736,N375,6
N736,N729,6
N736,N732,6
N736,N734,6
N736,N731,6
N736,N739,6
N736,N737,6
N439,N447,3
N439,N208,3
N439,N30,4
N439,N29,4
N439,N190,1
N439,N448,3
N439,N440,3
N439,N446,3
N439,N449,3
N439,N445,3
N439,N441,3
N439,N442,3
N439,N443,3
N439,N75,1
N439,N644,1
N439,N121,1
N439,N451,3
N439,N450,3
N439,N444,3
N1846,N172,1
N1072,N1068,1
N1072,N1067,1
N228,N490,7
N228,N127,1
N228,N435,1
N228,N572,6
N228,N229,1
N228,N230,1
N228,N729,6
N228,N1536,1
N228,N486,2
N228,N731,6
N228,N492,7
N228,N236,1
N228,N739,6
N228,N877,1
N228,N577,1
N228,N75,1
N228,N576,4
N228,N121,2
N228,N489,5
N228,N491,7
N228,N1808,1
N228,N238,1
N228,N235,1
N228,N233,1
N406,N407,1
N380,N406,1
N380,N1159,1
N380,N379,2
N380,N407,1
N380,N9,1
N380,N1797,1
N380,N74,1
N380,N122,2
N1159,N1160,1
N1159,N9,1
N1159,N1797,1
N379,N406,1
N379,N407,2
N379,N127,1
N379,N1719,1
N379,N969,1
N379,N113,1
N379,N1717,1
N379,N122,1
N379,N968,1
N407,N379,2
N407,N1717,1
N127,N9,1
N127,N969,1
N127,N113,1
N127,N75,27
N127,N1288,1
N126,N1197,1
N126,N1203,1
N126,N127,2
N126,N1202,1
N126,N30,4
N126,N902,1
N126,N113,2
N126,N120,1
N126,N29,1
N126,N561,1
N126,N280,1
N126,N563,1
N126,N564,1
N126,N124,1
N126,N128,1
N126,N1201,1
N126,N837,1
N126,N122,1
N126,N1198,1
N126,N562,1
N126,N75,1
N126,N56,2
N126,N560,1
N126,N121,1
N126,N1200,1
N930,N127,1
N930,N29,1
N820,N821,1
N500,N126,1
N221,N228,2
N221,N127,2
N221,N435,2
N221,N30,1
N221,N572,1
N221,N91,1
N221,N486,1
N221,N122,2
N221,N877,1
N221,N75,1
N221,N121,3
N221,N571,1
N221,N1808,1
N776,N228,1
N499,N126,1
N499,N500,1
N499,N30,1
N904,N3,1
N87,N88,1
N87,N86,1
N123,N127,1
N123,N126,1
N123,N30,1
N123,N120,1
N123,N29,1
N123,N125,1
N123,N74,1
N123,N124,1
N123,N128,1
N123,N122,1
N123,N56,1
N123,N121,1
N795,N292,1
N1094,N5,1
N543,N544,1
N543,N545,1
N598,N401,1
N618,N619,1
N618,N113,1
N618,N74,1
N995,N996,2
N717,N3,2
N1174,N64,1
N208,N447,3
N208,N736,6
N208,N228,6
N208,N730,6
N208,N733,6
N208,N572,6
N208,N738,6
N208,N375,6
N208,N729,6
N208,N732,6
N208,N734,6
N208,N91,2
N208,N728,6
N208,N735,6
N208,N731,6
N208,N739,6
N208,N443,3
N208,N115,6
N208,N5,1
N208,N737,6
N1324,N1325,1
N94,N361,1
N94,N91,2
N94,N95,2
N94,N92,2
N94,N93,1
N94,N75,1
N1163,N145,1
N1163,N144,1
N670,N671,2
N670,N669,2
N670,N1223,1
N670,N5,1
N989,N64,2
N1434,N559,1
N527,N3,1
N1807,N228,1
N1807,N221,1
N1807,N30,1
N1807,N1449,1
N1807,N877,1
N1807,N121,1
N1807,N1808,1
N575,N292,1
N1125,N1126,1
N96,N97,1
N665,N190,1
N1066,N1072,1
N1066,N1070,1
N1066,N1068,1
N1066,N1071,1
N1066,N1067,1
N1066,N1069,1
N1755,N1453,1
N1398,N9,1
N1398,N1399,1
N1689,N1690,1
N601,N74,1
N17,N20,1
N17,N19,1
N1186,N972,1
N1186,N145,1
N1186,N973,1
N1186,N144,1
N1636,N172,1
N1720,N1497,1
N525,N424,1
N524,N424,1
N535,N64,1
N1044,N1045,1
N1202,N1203,1
N1202,N1201,1
N1202,N1198,1
N1202,N1200,1
N1183,N3,2
N1719,N379,2
N1719,N407,3
N1719,N1717,1
N435,N127,2
N435,N486,1
N435,N75,1
N435,N121,2
N933,N1214,1
N933,N932,1
N933,N128,1
N933,N75,1
N9,N1197,1
N9,N1203,1
N9,N406,1
N9,N380,2
N9,N379,1
N9,N407,1
N9,N890,1
N9,N126,1
N9,N1202,1
N9,N335,1
N9,N29,2
N9,N1302,1
N9,N316,1
N9,N1677,1
N9,N1676,1
N9,N1201,1
N9,N122,1
N9,N204,1
N9,N1199,1
N9,N1198,1
N9,N75,1
N9,N1200,1
N9,N1254,2
N9,N1253,2
N30,N447,3
N30,N1635,1
N30,N1361,3
N30,N490,7
N30,N439,1
N30,N228,15
N30,N380,1
N30,N1159,1
N30,N127,33
N30,N126,2
N30,N930,1
N30,N500,1
N30,N208,3
N30,N933,4
N30,N9,12
N30,N902,2
N30,N113,19
N30,N114,1
N30,N1345,1
N30,N1601,2
N30,N29,35
N30,N190,1
N30,N561,1
N30,N440,3
N30,N1796,1
N30,N1797,1
N30,N446,3
N30,N572,2
N30,N896,1
N30,N563,1
N30,N564,1
N30,N316,2
N30,N1411,1
N30,N1410,1
N30,N1677,1
N30,N1676,1
N30,N1679,1
N30,N124,1
N30,N833,12
N30,N932,1
N30,N128,11
N30,N897,1
N30,N449,3
N30,N8,2
N30,N181,1
N30,N33,1
N30,N32,1
N30,N837,3
N30,N122,2
N30,N78,1
N30,N52,1
N30,N442,3
N30,N492,7
N30,N877,1
N30,N443,3
N30,N562,1
N30,N577,1
N30,N75,32
N30,N576,4
N30,N346,1
N30,N56,2
N30,N644,1
N30,N1288,1
N30,N888,1
N30,N53,1
N30,N560,1
N30,N121,4
N30,N451,3
N30,N882,3
N30,N489,5
N30,N131,23
N30,N491,7
N30,N1808,1
N30,N450,3
N30,N444,3
N30,N900,1
N30,N898,1
N1038,N1036,1
N1038,N1040,1
N1038,N1039,1
N1038,N1037,1
N902,N75,1
N113,N127,12
N113,N930,1
N113,N9,2
N113,N969,1
N113,N902,1
N113,N114,1
N113,N561,1
N113,N128,10
N113,N968,1
N113,N562,1
N113,N75,11
N68,N69,1
N68,N71,1
N68,N72,1
N68,N70,1
N784,N785,1
N784,N786,1
N1562,N1563,1
N963,N961,1
N963,N962,1
N557,N30,1
N646,N30,1
N1207,N1209,1
N801,N803,2
N801,N802,2
N1413,N309,1
N1413,N1414,1
N1155,N145,1
N1155,N144,1
N421,N3,1
N147,N148,1
N1111,N1112,1
N1127,N214,1
N1127,N91,1
N1127,N1128,1
N958,N172,1
N1510,N30,1
N1510,N113,1
N1215,N64,1
N1297,N64,1
N1576,N472,1
N362,N3,1
N609,N127,1
N609,N126,1
N609,N30,1
N609,N74,1
N609,N75,1
N702,N711,2
N702,N707,2
N1284,N172,1
N185,N188,1
N185,N187,1
N185,N186,2
N103,N104,1
N103,N102,1
N730,N736,6
N730,N228,6
N730,N572,6
N730,N738,6
N730,N375,6
N730,N729,6
N730,N732,6
N730,N734,6
N730,N1247,1
N730,N735,6
N730,N731,6
N730,N739,6
N730,N737,6
N1476,N1477,1
N1666,N84,1
N1426,N559,1
N1426,N1427,1
N237,N228,1
N237,N232,1
N237,N229,1
N237,N230,1
N237,N236,1
N237,N238,1
N237,N235,1
N237,N233,1
N361,N30,1
N361,N91,1
N361,N95,1
N361,N75,1
N632,N3,4
N1793,N1794,1
N1147,N9,1
N1147,N30,1
N1147,N113,1
N1147,N29,1
N1147,N910,1
N966,N64,2
N966,N908,2
N35,N36,1
N35,N37,1
N962,N961,1
N774,N216,1
N1449,N228,1
N1449,N221,1
N1449,N933,1
N1449,N30,2
N1449,N837,1
N1449,N877,1
N1449,N121,1
N1449,N1808,1
N120,N379,1
N120,N127,2
N120,N30,2
N120,N969,1
N120,N113,1
N120,N29,2
N120,N124,1
N120,N122,1
N120,N968,1
N120,N56,1
N120,N121,2
N231,N228,1
N231,N237,1
N231,N232,1
N231,N229,1
N231,N230,1
N231,N236,1
N231,N238,1
N231,N235,1
N231,N233,1
N672,N3,1
N1443,N1444,1
N848,N99,1
N848,N5,1
N1070,N1072,1
N1070,N1068,1
N1070,N1067,1
N1070,N1069,1
N1601,N1361,1
N1655,N316,1
N1655,N375,1
N1655,N472,1
N1655,N451,1
N1655,N1656,1
N1725,N730,1
N1725,N1247,1
N687,N292,1
N683,N292,2
N1555,N172,1
N1569,N172,1
N29,N447,3
N29,N736,6
N29,N228,15
N29,N127,26
N29,N208,9
N29,N9,2
N29,N113,13
N29,N730,6
N29,N190,1
N29,N733,6
N29,N440,3
N29,N572,6
N29,N738,6
N29,N316,6
N29,N375,6
N29,N124,1
N29,N833,15
N29,N128,11
N29,N1139,2
N29,N729,6
N29,N732,6
N29,N1536,1
N29,N449,3
N29,N734,6
N29,N876,1
N29,N91,4
N29,N486,1
N29,N33,1
N29,N122,1
N29,N728,6
N29,N442,3
N29,N735,6
N29,N731,6
N29,N739,6
N29,N877,1
N29,N443,3
N29,N577,1
N29,N75,25
N29,N576,1
N29,N346,1
N29,N56,4
N29,N1138,1
N29,N121,12
N29,N115,6
N29,N450,3
N29,N5,1
N29,N737,6
N29,N444,3
N29,N878,1
N31,N30,1
N31,N29,1
N31,N33,1
N1079,N5,2
N838,N56,1
N1433,N5,2
N110,N111,1
N498,N126,1
N498,N500,1
N498,N499,1
N498,N30,1
N812,N292,1
N510,N292,1
N972,N145,7
N972,N973,6
N972,N144,7
N805,N30,1
N805,N3,6
N805,N52,1
N108,N30,1
N396,N397,1
N1278,N30,1
N1278,N120,1
N1278,N29,1
N1278,N74,1
N1278,N32,1
N1278,N121,1
N190,N121,1
N232,N228,1
N232,N229,1
N232,N230,1
N232,N236,1
N232,N238,1
N232,N235,1
N232,N233,1
N1310,N64,2
N506,N514,1
N506,N508,1
N506,N507,1
N4,N5,1
N1379,N1380,1
N71,N69,6
N71,N72,6
N71,N70,6
N455,N113,1
N455,N29,1
N455,N32,1
N79,N876,1
N79,N8,1
N79,N80,1
N79,N1511,1
N79,N1481,2
N79,N1441,1
N794,N3,1
N1053,N30,1
N1053,N74,1
N340,N341,1
N1772,N9,1
N1772,N29,1
N1772,N74,1
N1772,N1773,1
N1772,N837,1
N448,N447,3
N448,N208,3
N448,N30,3
N448,N29,3
N448,N440,3
N448,N446,3
N448,N449,3
N448,N441,3
N448,N442,3
N448,N443,3
N448,N451,3
N448,N450,3
N448,N444,3
N733,N736,6
N733,N228,6
N733,N730,6
N733,N572,6
N733,N738,6
N733,N375,6
N733,N729,6
N733,N732,6
N733,N734,6
N733,N735,6
N733,N731,6
N733,N739,6
N733,N737,6
N808,N216,1
N1172,N30,1
N1172,N181,1
N135,N3,2
N440,N447,3
N440,N208,3
N440,N442,3
N440,N443,3
N440,N450,3
N1806,N392,2
N1834,N3,1
N222,N3,1
N1267,N9,1
N1267,N30,1
N1267,N8,1
N1416,N933,3
N1416,N181,3
N324,N323,1
N180,N181,1
N303,N302,4
N86,N88,1
N1796,N380,1
N1796,N1159,1
N1796,N9,1
N1796,N1797,1
N1796,N122,1
N1797,N9,1
N280,N71,1
N280,N72,1
N280,N56,1
N72,N69,6
N72,N71,6
N697,N698,2
N493,N292,1
N426,N429,1
N426,N428,1
N426,N427,1
N1382,N64,1
N1260,N1261,2
N446,N447,3
N446,N208,3
N446,N29,3
N446,N440,3
N446,N449,3
N446,N442,3
N446,N443,3
N446,N451,3
N446,N450,3
N446,N444,3
N210,N145,1
N210,N144,1
N143,N145,1
N143,N144,1
N1106,N1107,1
N572,N1635,1
N572,N113,1
N572,N837,1
N572,N731,6
N572,N739,6
N133,N134,1
N1767,N172,1
N645,N259,1
N645,N642,1
N402,N404,1
N402,N403,1
N710,N702,2
N710,N712,2
N710,N709,2
N710,N711,2
N710,N707,2
N710,N713,2
N563,N113,1
N563,N561,1
N563,N562,1
N712,N702,2
N712,N711,2
N712,N707,2
N712,N713,2
N564,N113,1
N564,N561,1
N564,N563,1
N564,N562,1
N564,N560,1
N12,N3,1
N895,N30,1
N895,N896,1
N895,N316,1
N895,N897,1
N895,N900,1
N895,N898,1
N629,N221,2
N347,N348,1
N347,N349,1
N347,N121,1
N680,N8,2
N1485,N64,1
N1856,N3,1
N738,N228,6
N738,N572,6
N738,N375,6
N738,N729,6
N738,N732,6
N738,N734,6
N738,N731,6
N738,N739,6
N738,N737,6
N586,N191,1
N586,N587,1
N1467,N3,1
N612,N30,1
N1017,N172,2
N1764,N1497,1
N676,N577,2
N1370,N1371,1
N1384,N3,1
N1362,N383,1
N1064,N1065,1
N107,N3,1
N1056,N1058,1
N1056,N1057,1
N1056,N1059,1
N1717,N379,1
N1717,N407,1
N1717,N1719,1
N1717,N1718,1
N526,N3,1
N1469,N3,1
N1114,N576,1
N1344,N803,1
N1344,N30,1
N1344,N1345,1
N1344,N75,1
N1344,N121,1
N1078,N3,1
N177,N178,1
N1811,N1813,1
N1811,N1812,1
N1063,N126,1
N806,N8,1
N365,N5,1
N704,N702,2
N704,N710,2
N704,N712,2
N704,N709,2
N704,N711,2
N704,N703,2
N704,N707,2
N704,N713,2
N1214,N128,1
N316,N736,6
N316,N228,8
